Database,MDBDir,Path,TableName,FileType,PartitionKey,PartitionValue,SourceURI,DownloadPolicy,ExpectedSHA256,ArchiveType,ArchiveMember,Delimiter,ReaderOptions,SourceProvider,SourceRelease,SourceLicense,CitationURL,SourceNotes,AccessMode,AccessRequirements,ApproxRows,ApproxColumns,DatasetName,SourceComponent,Group,Large
NHANES,remote/nhanes/dietary,DRXTOT_B.xpt,DRXTOT,xpt,survey_cycle,2001-2002,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DRXTOT_B.xpt,if_missing,,,,,,CDC/NCHS,2001-2002,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Dietary Interview - Total Nutrient Intakes. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DSQ1_B.xpt,DSQ1,xpt,survey_cycle,2001-2002,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DSQ1_B.xpt,if_missing,,,,,,CDC/NCHS,2001-2002,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Supplement Use 30-Day - File 1, Supplement Counts. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DSQ2_B.xpt,DSQ2,xpt,survey_cycle,2001-2002,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DSQ2_B.xpt,if_missing,,,,,,CDC/NCHS,2001-2002,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DR1IFF_C.xpt,DR1IFF,xpt,survey_cycle,2003-2004,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DR1IFF_C.xpt,if_missing,,,,,,CDC/NCHS,2003-2004,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Interview - Individual Foods, First Day. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DR1TOT_C.xpt,DR1TOT,xpt,survey_cycle,2003-2004,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DR1TOT_C.xpt,if_missing,,,,,,CDC/NCHS,2003-2004,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Interview - Total Nutrient Intakes, First Day. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DR2IFF_C.xpt,DR2IFF,xpt,survey_cycle,2003-2004,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DR2IFF_C.xpt,if_missing,,,,,,CDC/NCHS,2003-2004,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Interview - Individual Foods, Second Day. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DR2TOT_C.xpt,DR2TOT,xpt,survey_cycle,2003-2004,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DR2TOT_C.xpt,if_missing,,,,,,CDC/NCHS,2003-2004,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Interview - Total Nutrient Intakes, Second Day. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DRXFCD_C.xpt,DRXFCD,xpt,survey_cycle,2003-2004,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DRXFCD_C.xpt,if_missing,,,,,,CDC/NCHS,2003-2004,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Dietary Interview Technical Support File - Food Codes. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DRXMCD_C.xpt,DRXMCD,xpt,survey_cycle,2003-2004,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DRXMCD_C.xpt,if_missing,,,,,,CDC/NCHS,2003-2004,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Dietary Interview Technical Support File - Modification Codes. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DSQ1_C.xpt,DSQ1,xpt,survey_cycle,2003-2004,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DSQ1_C.xpt,if_missing,,,,,,CDC/NCHS,2003-2004,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Supplement Use 30-Day - File 1, Supplement Counts. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
